location_original,state_original,country_original,location_current,state_current,country_current,category,work_referenced
Bargfeld,Niedersachsen,Germany,Bargfeld,Niedersachsen,Germany,village,14
Bargfeld,Niedersachsen,Germany,Bargfeld,Niedersachsen,Germany,village,16
Bargfeld,Niedersachsen,Germany,Bargfeld,Niedersachsen,Germany,village,21
Bargfeld,Niedersachsen,Germany,Bargfeld,Niedersachsen,Germany,village,25
Ahlden,Niedersachsen,Germany,Ahlden,Niedersachsen,Germany,village,8
Benefeld,Niedersachsen,Germany,Benefeld,Niedersachsen,Germany,village,3
Benefeld,Niedersachsen,Germany,Benefeld,Niedersachsen,Germany,village,4
Benefeld,Niedersachsen,Germany,Benefeld,Niedersachsen,Germany,village,26
Bergen,Vestland,Norway,Bergen,Vestland,Norway,city,8
Bergen,Vestland,Norway,Bergen,Vestland,Norway,city,24
Bremerhaven,Freie Hansestadt,Germany,Bremerhaven,Freie Hansestadt,Germany,city,27
Cádiz,Andalusia,Spain,Cádiz,Andalusia,Spain,city,1
Cordingen,Niedersachsen,Germany,Cordingen,Niedersachsen,Germany,village,4
Cordingen,Niedersachsen,Germany,Cordingen,Niedersachsen,Germany,village,5
Esbjerg,Jutland,Denmark,Esbjerg,Jutland,Denmark,city,27
Görlitz,Sachsen,Germany,Görlitz,Sachsen,Germany,city,24
Görlitz,Sachsen,Germany,Görlitz,Sachsen,Germany,city,25
Görlitz,Sachsen,Germany,Görlitz,Sachsen,Germany,city,3
Hamburg,Hamburg,Germany,Hamburg,Hamburg,Germany,city,4
Hamburg,Hamburg,Germany,Hamburg,Hamburg,Germany,city,5
Hamburg,Hamburg,Germany,Hamburg,Hamburg,Germany,city,25
Hankensbüttel,Niedersachsen,Germany,Hankensbüttel,Niedersachsen,Germany,village,14
Hünzingen,Niedersachsen,Germany,Hünzingen,Niedersachsen,Germany,village,5
Husum,Schleswig-Holstein,Germany,Husum,Schleswig-Holstein,Germany,city,24
Husum,Schleswig-Holstein,Germany,Husum,Schleswig-Holstein,Germany,city,25
Husum,Schleswig-Holstein,Germany,Husum,Schleswig-Holstein,Germany,city,27
Kirchwalsede,Niedersachsen,Germany,Kirchwalsede,Niedersachsen,Germany,village,24
Kirchwalsede,Niedersachsen,Germany,Kirchwalsede,Niedersachsen,Germany,village,8
Lauban,Niederschlesien,Prussia,Lubań,Niederschlesien,Poland,city,24
Lauban,Niederschlesien,Prussia,Lubań,Niederschlesien,Poland,city,25
Hamburg,Hamburg,Germany,Hamburg,Hamburg,Germany,city,27
Nordby,Jutland,Denmark,Nordby,Jutland,Denmark,island,27
Nordstrand,Schleswig-Holstein,Germany,Nordstrand,Schleswig-Holstein,Germany,island,24
Nordstrand,Schleswig-Holstein,Germany,Nordstrand,Schleswig-Holstein,Germany,island,25
Oslo,Oslo,Norway,Oslo,Oslo,Norway,region,14
Oslo,Oslo,Norway,Oslo,Oslo,Norway,region,3
Pallaskenry,Limerick,Ireland,Pallaskenry,Limerick,Ireland,village,8
Räderloh,Niedersachsen,Germany,Räderloh,Niedersachsen,Germany,village,20
Räderloh,Niedersachsen,Germany,Räderloh,Niedersachsen,Germany,village,22
Ribe,Esbjerg,Denmark,Ribe,Esbjerg,Denmark,city,27
Romsdal,More og Romsdal,Norway,Romsdal,More og Romsdal,Norway,region,3
Romsdal,More og Romsdal,Norway,Romsdal,More og Romsdal,Norway,region,8
Romsdal,More og Romsdal,Norway,Romsdal,More og Romsdal,Norway,region,27
Romsdal,More og Romsdal,Norway,Romsdal,More og Romsdal,Norway,region,24
Rotenburg,Niedersachsen,Germany,Rotenburg,Niedersachsen,Germany,village,5
Skye,Inner Hebrides,Scotland,Skye,Inner Hebrides,Scotland,island,5
Skye,Inner Hebrides,Scotland,Skye,Inner Hebrides,Scotland,island,24
Skye,Inner Hebrides,Scotland,Skye,Inner Hebrides,Scotland,island,27
Sønderho,Fanø,Denmark,Sønderho,Fanø,Denmark,village,27
Walsrode,Niedersachsen,Germany,Walsrode,Niedersachsen,Germany,city,4
Walsrode,Niedersachsen,Germany,Walsrode,Niedersachsen,Germany,city,5
Stonehenge,Stonehenge,England,Stonehenge,Stonehenge,England,island,24
Stonehenge,Stonehenge,England,Stonehenge,Stonehenge,England,island,27
Tönning,Schleswig-Holstein,Germany,Tönning,Schleswig-Holstein,Germany,city,27
Venezia,Venezia,Italy,Venezia,Venezia,Italy,city,24
Venezia,Venezia,Italy,Venezia,Venezia,Italy,city,27
Venezia,Venezia,Italy,Venezia,Venezia,Italy,city,25
Visselhövede,Niedersachsen,Germany,Visselhövede,Niedersachsen,Germany,city,3
Visselhövede,Niedersachsen,Germany,Visselhövede,Niedersachsen,Germany,city,4
Visselhövede,Niedersachsen,Germany,Visselhövede,Niedersachsen,Germany,city,5
