"id","state_original","state_current","country_current","country_original","location_current","location_original","lat","long","category","work_referenced","count_references","link"
"1","Niedersachsen","Niedersachsen","Germany","Germany","Bargfeld","Bargfeld",52.703611,10.346944,"village",14,1,https://www.arno-schmidt-stiftung.de/eba/search?title=Kaff%20auch%20Mare%20Crisium&q=bargfeld
"2","Niedersachsen","Niedersachsen","Germany","Germany","Bargfeld","Bargfeld",52.703611,10.346944,"village",16
"3","Niedersachsen","Niedersachsen","Germany","Germany","Bargfeld","Bargfeld",52.703611,10.346944,"village",21
"4","Niedersachsen","Niedersachsen","Germany","Germany","Bargfeld","Bargfeld",52.703611,10.346944,"village",25,1,https://www.arno-schmidt-stiftung.de/eba/search?title=Abend%20mit%20Goldrand&q=bargfeld
"5","Niedersachsen","Niedersachsen","Germany","Germany","Ahlden","Ahlden",52.7591196,9.5515675,"village",8, 16,https://www.arno-schmidt-stiftung.de/eba/search?title=Das%20steinerne%20Herz&q=Ahlden
"6","Niedersachsen","Niedersachsen","Germany","Germany","Benefeld","Benefeld",52.9059502,9.6352774,"village",3
"7","Niedersachsen","Niedersachsen","Germany","Germany","Benefeld","Benefeld",52.9059502,9.6352774,"village",4,1,https://www.arno-schmidt-stiftung.de/eba/search?title=Schwarze%20Spiegel&q=Benefeld
"8","Niedersachsen","Niedersachsen","Germany","Germany","Benefeld","Benefeld",52.9059502,9.6352774,"village",26,1,https://www.arno-schmidt-stiftung.de/eba/search?title=Die%20Umsiedler&q=Benefeld
"9","Vestland","Vestland","Norway","Norway","Bergen","Bergen",60.3943055,5.3259192,"city",8
"10","Vestland","Vestland","Norway","Norway","Bergen","Bergen",60.3943055,5.3259192,"city",24
"11","Freie Hansestadt","Freie Hansestadt","Germany","Germany","Bremerhaven","Bremerhaven",53.5522264,8.5865509,"city",27,1,https://www.arno-schmidt-stiftung.de/eba/search?title=Die%20Schule%20der%20Atheisten&q=Bremerhaven
